UniProtKB:Q9Y2M0	FAN1
UniProtKB:Q96GX5	MASTL
UniProtKB:Q9Y2K7	KDM2A
UniProtKB:Q9Y2K1	ZBTB1
UniProtKB:Q14694	USP10
UniProtKB:O94761	RECQL4
UniProtKB:Q14686	NCOA6
UniProtKB:Q14683	SMC1A
UniProtKB:Q14676	MDC1
UniProtKB:Q5D1E8	ZC3H12A
UniProtKB:Q14669	TRIP12
UniProtKB:Q14653	IRF3
UniProtKB:Q96HA7	TONSL
UniProtKB:Q9H1I8	ASCC2
UniProtKB:Q8NCN4	RNF169
UniProtKB:Q6K0P9	PYHIN1
UniProtKB:Q96HF1	SFRP2
UniProtKB:Q9UK32	RPS6KA6
UniProtKB:Q9UBZ9	REV1
UniProtKB:P49768	PSEN1
UniProtKB:Q9Y294	ASF1A
UniProtKB:Q9UBU8	MORF4L1
UniProtKB:P62487	POLR2G
UniProtKB:Q9Y6E7	SIRT4
UniProtKB:Q9Y3Z3	SAMHD1
UniProtKB:Q9UI95	MAD2L2
UniProtKB:Q96FW1	OTUB1
UniProtKB:O95551	TDP2
UniProtKB:O43196	MSH5
UniProtKB:O43189	PHF1
UniProtKB:A0A096LP88	LOC107984078
UniProtKB:Q96B02	UBE2W
UniProtKB:P40938	RFC3
UniProtKB:P40937	RFC5
UniProtKB:M0R2N6	M0R2N6
UniProtKB:Q96AH0	NABP1
UniProtKB:I3L0A0	TMEM189-UBE2V1
UniProtKB:Q9H160	ING2
UniProtKB:Q9Y2T1	AXIN2
UniProtKB:Q5XG87	TENT4A
UniProtKB:Q8NBZ0	INO80E
UniProtKB:O95365	ZBTB7A
UniProtKB:P57723	PCBP4
UniProtKB:Q14565	DMC1
UniProtKB:Q14526	HIC1
UniProtKB:Q9NYL2	MAP3K20
UniProtKB:Q9H2K8	TAOK3
UniProtKB:Q9UKW4	VAV3
UniProtKB:Q9H2X6	HIPK2
UniProtKB:Q9NZ56	FMN2
UniProtKB:Q6P4R8	NFRKB
UniProtKB:O43324	EEF1E1
UniProtKB:Q9NX09	DDIT4
UniProtKB:P27361	MAPK3
UniProtKB:P15941	MUC1
UniProtKB:Q8NFC6	BOD1L1
UniProtKB:P15927	RPA2
UniProtKB:Q08945	SSRP1
UniProtKB:O95677	EYA4
UniProtKB:P17096	HMGA1
UniProtKB:O75909	CCNK
UniProtKB:O75175	CNOT3
UniProtKB:O95628	CNOT4
UniProtKB:O43299	AP5Z1
UniProtKB:Q96BT7	ALKBH8
ZFIN:ZDB-GENE-050113-1	flj11011l
UniProtKB:Q13889	GTF2H3
UniProtKB:Q8N2Z9	CENPS
UniProtKB:P53803	POLR2K
UniProtKB:P53801	PTTG1IP
UniProtKB:Q9Y4F3	MARF1
UniProtKB:Q8N2W9	PIAS4
UniProtKB:Q7Z2Z1	TICRR
UniProtKB:Q96BY2	MOAP1
